"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H004_ai_param_robustness"
"07/03/2026 09:47:05:545 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"9","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","86.0055264708289","59.24841789361296","0.32915787718673867","59.24841789361296","0","0.32915787718673867","0","3631.444673174761","3631.444673174761","0","0","1394.498575533594","1394.498575533594","0","0","0.018839905303371873","1","1","0","1","1","0","100","0.08457080858788396","100","0","1","1","0","0"
"15","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","154","35.021872569839104","53.10846758093327","0.29504704211629595","53.10846758093327","0","0.29504704211629595","0","26.28580559770577","26.28580559770577","0","0","1748.685670762995","1748.685670762995","0","0","0.031275533836383484","0","0","0","0","0","0","0","0.07496595206891836","100","0","1","1","0","0"
"13","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","318","55.58538561527941","29.995746946899818","0.16664303859388788","29.995746946899818","0","0.16664303859388788","0","26.65104114902726","26.65104114902726","0","0","1767.3007696675531","1767.3007696675531","0","0","0.03192115689100006","0","0","0","0","0","0","0","0.0902510832045682","100","0","1","1","0","0"
"14","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","230","62.749340102176745","24.796688065642314","0.1377593781424573","24.796688065642314","0","0.1377593781424573","0","26.22124157300672","26.22124157300672","0","0","1844.745986476346","1844.745986476346","0","0","0.0352133939419117","0","0","0","0","0","0","0","0.08324389506617247","100","0","1","1","0","0"
"16","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","144","30.682729329026664","27.773277272939076","0.15429598484966153","27.773277272939076","0","0.15429598484966153","0","26.319247403959135","26.319247403959135","0","0","1875.6795347634668","1875.6795347634668","0","0","0.038648830949893354","0","0","0","0","0","0","0","0.08077180476923444","100","0","1","1","0","0"
"17","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","218","55.4698575463661","27.01140313974479","0.15006335077635993","27.01140313974479","0","0.15006335077635993","0","26.360119649055846","26.360119649055846","0","0","1613.0552002717504","1613.0552002717504","0","0","0.03287430292175708","0","0","0","0","0","0","0","0.09083666670526148","100","0","1","1","0","0"
"18","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","894","58.46229396952242","24.468329421158927","0.13593516345088294","24.468329421158927","0","0.13593516345088294","0","26.04884567432156","26.04884567432156","0","0","1772.3483653223782","1772.3483653223782","0","0","0.038628930283229","0","0","0","0","0","0","0","0.05836111272189106","100","0","1","1","0","0"
"19","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","270","46.04470515284613","30.9503772081938","0.1719465400455211","30.9503772081938","0","0.1719465400455211","0","26.601869159235974","26.601869159235974","0","0","1674.861675030554","1674.861675030554","0","0","0.035462109448743284","0","0","0","0","0","0","0","0.07102094115683368","100","0","1","1","0","0"
"22","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","0","39.7129575220429","28.305170531447445","0.15725094739693024","28.305170531447445","0","0.15725094739693024","0","26.701049233285993","26.701049233285993","0","0","1819.596321686245","1819.596321686245","0","0","0.037179694866599","0","0","0","0","0","0","0","0.09121180102645501","100","0","1","1","0","0"
"21","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","1804","97.24453847278824","40.69863048112213","0.22610350267290072","40.69863048112213","0","0.22610350267290072","0","28.505826352271896","28.505826352271896","0","0","1752.629887681211","1752.629887681211","0","0","0.03700320733220863","0","0","0","0","0","0","0","0.07671127065102422","100","0","1","1","0","0"
