"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H006_fine_bias_onset"
"07/03/2026 11:41:09:166 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"13","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","13.30317983987743","80.99194464131932","0.44995524800732956","80.99194464131932","0","0.44995524800732956","0","1479.936803153143","1479.936803153143","0","0","696.3966752641187","696.3966752641187","0","0","0.0126662233307413","0.7101325607307452","0.7101325607307452","0","0.6532912021020946","0.6532912021020946","0","100","0.09025108320456818","100","0","0.045796277981686756","0.045796277981686756","0","0.005363570425882551"
"14","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","21","10.423921439792764","89.26787136779805","0.49593261870998917","89.26787136779805","0","0.49593261870998917","0","1184.4611859794084","1184.4611859794084","0","0","853.5846173527665","853.5846173527665","0","0","0.016814759921405464","0.5190706359446231","0.5190706359446231","0","0.4563074573196053","0.4563074573196053","0","100","0.08324389506617247","100","0","0.06957526002673921","0.06957526002673921","0","0.007711226434760382"
"12","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","41","13.78636625238019","88.84831850840492","0.49360176949113843","88.84831850840492","0","0.49360176949113843","0","995.7927992214213","995.7927992214213","0","0","818.3690816956523","818.3690816956523","0","0","0.01756340757602448","0.3956657476955361","0.3956657476955361","0","0.33052853281428085","0.33052853281428085","0","100","0.06595660834768498","100","0","0.05316864530330182","0.05316864530330182","0","0.006299440243689345"
"11","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","32.74562087282254","102.55815583294032","0.5697675324052239","102.55815583294032","0","0.5697675324052239","0","19904.680748759754","19904.680748759754","0","0","751.9574920492491","751.9574920492491","0","0","0.008638974526557819","1","1","0","1","1","0","100","0.0764419068316659","100","0","0.05634518209761721","0.05634518209761721","0","0.006540106022472063"
"15","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","10.81189076236494","85.7761989888959","0.4765344388271994","85.7761989888959","0","0.4765344388271994","0","760.9604366286933","760.9604366286933","0","0","620.8744041487928","620.8744041487928","0","0","0.019856757385622537","0.22150858578982852","0.22150858578982852","0","0.17397362441912886","0.17397362441912886","0","100","0.07496595206891833","100","0","0.05921902171623329","0.05921902171623329","0","0.006911563700436999"
"16","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","13.526152118234577","88.02661396710353","0.48903674426168625","88.02661396710353","0","0.48903674426168625","0","694.8117367123346","694.8117367123346","0","0","839.8643514869572","839.8643514869572","0","0","0.021218162149884368","0.16707108327104894","0.16707108327104894","0","0.1298744911415563","0.1298744911415563","0","100","0.08077180476923444","100","0","0.05730845533721549","0.05730845533721549","0","0.007732780246791776"
"17","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","106","24.179233561024915","97.19266908112624","0.5399592726729235","97.19266908112624","0","0.5399592726729235","0","4936.161957962926","4936.161957962926","0","0","716.220655057047","716.220655057047","0","0","0.013942641162669966","1","1","0","1","1","0","100","0.0908366667052614","100","0","0.054184449467986014","0.054184449467986014","0","0.008090805430491376"
"18","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","14.913917041218255","96.88003181460805","0.5382223989700446","96.88003181460805","0","0.5382223989700446","0","1159.3696424532727","1159.3696424532727","0","0","756.0476640056138","756.0476640056138","0","0","0.018266367600011657","0.5012349927400445","0.5012349927400445","0","0.4395797616355152","0.4395797616355152","0","100","0.05836111272189108","100","0","0.051912188649525536","0.051912188649525536","0","0.005617224450836206"
"20","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","146","17.083745053874893","88.34728863181536","0.490818270176752","88.34728863181536","0","0.490818270176752","0","7721.271997919113","7721.271997919113","0","0","700.746664020144","700.746664020144","0","0","0.016095270684276963","1","1","0","1","1","0","100","0.08475945777005556","100","0","0.045451542250867394","0.045451542250867394","0","0.005507004950596593"
"21","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","26","22.30314624200051","100.66309485834057","0.5592394158796699","100.66309485834057","0","0.5592394158796699","0","880.6320297108069","880.6320297108069","0","0","826.7022643617437","826.7022643617437","0","0","0.022553508389636656","0.30925646291484676","0.30925646291484676","0","0.2537546864738712","0.2537546864738712","0","100","0.07671127065102423","100","0","0.06546583906157988","0.06546583906157988","0","0.008322627211554566"
