run_id,mode,strength,coupling,identity_pull,recovery_time,baseline,max_deviation,shock_cost,repair_cost,maintenance_cost
1,Coherence,20,0.4,0.1,0.0,86.45850437056684,4.106393317265528,4.106393317265528,0.0,86.45850437056684
2,Coherence,30,0.4,0.1,0.0,116.81332725416756,5.100368771009542,5.100368771009542,0.0,116.81332725416756
3,Coherence,40,0.4,0.1,12.0,89.41877962153454,12.151593136120296,12.151593136120296,12.0,89.41877962153454
4,Coherence,60,0.4,0.1,6.0,85.38463489378591,13.12397974453765,13.12397974453765,6.0,85.38463489378591
5,Coherence,80,0.4,0.1,0.0,93.0606054391655,7.724098543071747,7.724098543071747,0.0,93.0606054391655
6,Coherence,20,0.4,0.2,0.0,85.28908809606538,4.255113506919088,4.255113506919088,0.0,85.28908809606538
7,Coherence,30,0.4,0.2,0.0,85.05057890005104,6.954623891342308,6.954623891342308,0.0,85.05057890005104
8,Coherence,40,0.4,0.2,0.0,87.06264249558767,4.987444072164905,4.987444072164905,0.0,87.06264249558767
9,Coherence,60,0.4,0.2,0.0,86.18242178961852,5.750892399744856,5.750892399744856,0.0,86.18242178961852
10,Coherence,80,0.4,0.2,0.0,84.77918951249065,7.197222105553706,7.197222105553706,0.0,84.77918951249065
11,Coherence,20,0.4,0.3,0.0,79.06063884440843,2.736712936744283,2.736712936744283,0.0,79.06063884440843
12,Coherence,30,0.4,0.3,0.0,85.92837901703479,6.5223580718641045,6.5223580718641045,0.0,85.92837901703479
13,Coherence,40,0.4,0.3,35.0,81.96140345485472,12.56199291239318,12.56199291239318,35.0,81.96140345485472
14,Coherence,60,0.4,0.3,0.0,84.97264011660245,6.175317718965388,6.175317718965388,0.0,84.97264011660245
15,Coherence,80,0.4,0.3,0.0,95.1081722311794,5.210251056925813,5.210251056925813,0.0,95.1081722311794
16,Coherence,20,0.4,0.4,0.0,90.38463944784677,2.3737739179654653,2.3737739179654653,0.0,90.38463944784677
17,Coherence,30,0.4,0.4,0.0,88.78064274315422,4.868851485607195,4.868851485607195,0.0,88.78064274315422
18,Coherence,40,0.4,0.4,2.0,94.65456913492156,5.621459658669977,5.621459658669977,2.0,94.65456913492156
19,Coherence,60,0.4,0.4,0.0,97.2468847615708,5.444130299456049,5.444130299456049,0.0,97.2468847615708
20,Coherence,80,0.4,0.4,0.0,84.56360841546064,4.618879064790264,4.618879064790264,0.0,84.56360841546064
