run_id,mode,strength,recovery_time,baseline,max_deviation,shock_cost,repair_cost,maintenance_cost
1,Coherence,10,0.0,102.80996471248088,4.53519038013593,4.53519038013593,0.0,102.80996471248088
2,Coherence,20,0.0,93.22855977747724,6.023185283198984,6.023185283198984,0.0,93.22855977747724
3,Coherence,40,8.0,79.73740044281705,8.14928340471701,8.14928340471701,8.0,79.73740044281705
4,Coherence,80,10.0,87.21495803582464,11.344385149962733,11.344385149962733,10.0,87.21495803582464
5,Entrainment,10,0.0,36.25586596568242,4.480631382374778,4.480631382374778,0.0,36.25586596568242
6,Entrainment,20,0.0,21.472380392457698,4.825359171688074,4.825359171688074,0.0,21.472380392457698
7,Entrainment,40,49.0,29.82223621032888,34.294834066804924,34.294834066804924,49.0,29.82223621032888
8,Entrainment,80,120.0,23.962232894331972,46.67408590752771,46.67408590752771,120.0,23.962232894331972
