run_id,mode,strength,coupling,identity_pull,recovery_time,baseline,max_deviation,shock_cost,repair_cost,maintenance_cost
1,Coherence,10,0.2,0.2,0.0,84.34035726794376,2.6375685327895155,2.6375685327895155,0.0,84.34035726794376
2,Coherence,20,0.2,0.2,0.0,85.53076687016508,4.888852491722645,4.888852491722645,0.0,85.53076687016508
3,Coherence,30,0.2,0.2,0.0,91.2373503328724,3.558212020017095,3.558212020017095,0.0,91.2373503328724
4,Coherence,40,0.2,0.2,0.0,77.89486908665336,6.196225563621269,6.196225563621269,0.0,77.89486908665336
5,Coherence,60,0.2,0.2,0.0,82.56004045259422,7.317486218258821,7.317486218258821,0.0,82.56004045259422
6,Coherence,80,0.2,0.2,0.0,95.110904936291,5.058824917709956,5.058824917709956,0.0,95.110904936291
7,Coherence,10,0.4,0.2,0.0,84.54857004899712,4.896815547354436,4.896815547354436,0.0,84.54857004899712
8,Coherence,20,0.4,0.2,0.0,81.54668841018231,2.9592708819789237,2.9592708819789237,0.0,81.54668841018231
9,Coherence,30,0.4,0.2,0.0,86.46239489165477,4.560304186711846,4.560304186711846,0.0,86.46239489165477
10,Coherence,40,0.4,0.2,0.0,88.36952351249847,4.985465568401651,4.985465568401651,0.0,88.36952351249847
11,Coherence,60,0.4,0.2,0.0,90.39560112110732,3.138387228077491,3.138387228077491,0.0,90.39560112110732
12,Coherence,80,0.4,0.2,0.0,93.08035271957756,9.295693706348755,9.295693706348755,0.0,93.08035271957756
13,Coherence,10,0.6,0.2,5.0,99.65320220581548,6.216491719036924,6.216491719036924,5.0,99.65320220581548
14,Coherence,20,0.6,0.2,0.0,90.30150205743374,4.180238452409327,4.180238452409327,0.0,90.30150205743374
15,Coherence,30,0.6,0.2,61.0,74.45583232563533,10.91032620246743,10.91032620246743,61.0,74.45583232563533
16,Coherence,40,0.6,0.2,0.0,89.11819344773052,4.040791655265281,4.040791655265281,0.0,89.11819344773052
17,Coherence,60,0.6,0.2,0.0,87.17809626082446,4.133693673490342,4.133693673490342,0.0,87.17809626082446
18,Coherence,80,0.6,0.2,0.0,88.01282070711937,11.548594887675437,11.548594887675437,0.0,88.01282070711937
19,Entrainment,10,0.2,0.2,0.0,28.596307178196867,5.219550710338474,5.219550710338474,0.0,28.596307178196867
20,Entrainment,20,0.2,0.2,552.0,152.01025299714505,72.74857142064894,72.74857142064894,552.0,152.01025299714505
21,Entrainment,30,0.2,0.2,12.0,28.334483481585952,11.536487915180103,11.536487915180103,12.0,28.334483481585952
22,Entrainment,40,0.2,0.2,72.0,31.652376238491033,20.120043619140095,20.120043619140095,72.0,31.652376238491033
23,Entrainment,60,0.2,0.2,46.0,55.57208450820856,27.783717744059416,27.783717744059416,46.0,55.57208450820856
24,Entrainment,80,0.2,0.2,268.0,28.63626002531839,43.73489674499797,43.73489674499797,268.0,28.63626002531839
25,Entrainment,10,0.4,0.2,0.0,24.741777386157445,6.877711974800242,6.877711974800242,0.0,24.741777386157445
26,Entrainment,20,0.4,0.2,9.0,29.621827120618622,14.549578769339028,14.549578769339028,9.0,29.621827120618622
27,Entrainment,30,0.4,0.2,16.0,37.313510964264744,33.39935973977225,33.39935973977225,16.0,37.313510964264744
28,Entrainment,40,0.4,0.2,24.0,35.16880562897245,10.236784835479265,10.236784835479265,24.0,35.16880562897245
29,Entrainment,60,0.4,0.2,36.0,26.397455468901107,53.35542298398192,53.35542298398192,36.0,26.397455468901107
30,Entrainment,80,0.4,0.2,-1.0,124.86813213483585,104.88230165806137,104.88230165806137,0.0,124.86813213483585
31,Entrainment,10,0.6,0.2,28.0,27.785543466616463,20.70533811294953,20.70533811294953,28.0,27.785543466616463
32,Entrainment,20,0.6,0.2,0.0,23.2402687144095,3.8400378760879583,3.8400378760879583,0.0,23.2402687144095
33,Entrainment,30,0.6,0.2,17.0,29.441279487543262,10.571198304153944,10.571198304153944,17.0,29.441279487543262
34,Entrainment,40,0.6,0.2,44.0,111.45458374407848,51.65099907309556,51.65099907309556,44.0,111.45458374407848
35,Entrainment,60,0.6,0.2,26.0,19.944912792008637,56.066156046745526,56.066156046745526,26.0,19.944912792008637
36,Entrainment,80,0.6,0.2,233.0,27.878289156490425,49.7392469116927,49.7392469116927,233.0,27.878289156490425
