"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H004_ai_param_robustness"
"07/03/2026 09:11:43:702 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"13","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","314","65.84294671773871","25.863805589007256","0.1436878088278181","25.863805589007256","0","0.1436878088278181","0","26.360240920658498","26.360240920658498","0","0","1888.6639080181765","1888.6639080181765","0","0","0.03560471637718843","0","0","0","0","0","0","0","0.08863435764335026","100","0","1","1","0","0"
"12","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","238","39.12024960163817","32.433167166970385","0.18018426203872437","32.433167166970385","0","0.18018426203872437","0","26.35441602532138","26.35441602532138","0","0","1656.920303919018","1656.920303919018","0","0","0.0363569751591597","0","0","0","0","0","0","0","0.07676538202982815","100","0","1","1","0","0"
"14","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","576","54.201682315005165","29.01905670453443","0.16121698169185794","29.01905670453443","0","0.16121698169185794","0","26.550672921361876","26.550672921361876","0","0","1769.3815747116591","1769.3815747116591","0","0","0.03315127514579341","0","0","0","0","0","0","0","0.0961865508689097","100","0","1","1","0","0"
"15","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","902","58.197360011274675","31.013392112464953","0.17229662284702751","31.013392112464953","0","0.17229662284702751","0","26.233678525283953","26.233678525283953","0","0","1634.4476325980243","1634.4476325980243","0","0","0.0400857479345611","0","0","0","0","0","0","0","0.09307958507083332","100","0","1","1","0","0"
"16","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","49.785074920723105","39.902415810503626","0.22168008783613125","39.902415810503626","0","0.22168008783613125","0","3636.580137704884","3636.580137704884","0","0","1418.5325143807254","1418.5325143807254","0","0","0.020261621830665044","1","1","0","1","1","0","100","0.0749537915471422","100","0","1","1","0","0"
"17","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","104.06866090021045","30.264051343522038","0.16813361857512243","30.264051343522038","0","0.16813361857512243","0","3625.5693681905195","3625.5693681905195","0","0","1514.2043095814179","1514.2043095814179","0","0","0.019361693809200498","1","1","0","1","1","0","100","0.08617415378855484","100","0","1","1","0","0"
"19","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","78.06322735283135","40.38414300949945","0.2243563500527747","40.38414300949945","0","0.2243563500527747","0","3613.3157312844287","3613.3157312844287","0","0","1452.0246491388546","1452.0246491388546","0","0","0.020262510444019055","1","1","0","1","1","0","100","0.09919664136896296","100","0","1","1","0","0"
"18","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","1710","95.5622766969781","38.37736973523401","0.21320760964018895","38.37736973523401","0","0.21320760964018895","0","27.320425204152233","27.320425204152233","0","0","1523.831007944624","1523.831007944624","0","0","0.03786670632003486","0","0","0","0","0","0","0","0.0847753345419277","100","0","1","1","0","0"
"20","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","152","33.3737855144404","61.0855990795438","0.33936443933079885","61.0855990795438","0","0.33936443933079885","0","26.29354085676017","26.29354085676017","0","0","1788.2617652714405","1788.2617652714405","0","0","0.0348177376673664","0","0","0","0","0","0","0","0.08091766316813684","100","0","1","1","0","0"
"22","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","430","54.9932509137815","27.43289118721847","0.1524049510401026","27.43289118721847","0","0.1524049510401026","0","26.364756984967247","26.364756984967247","0","0","1603.1755601153843","1603.1755601153843","0","0","0.033951543885542","0","0","0","0","0","0","0","0.08021920150242896","100","0","1","1","0","0"
