"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H001_batch2_proportion_sweep_full"
"07/03/2026 09:28:48:851 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"12","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","10.567968827718886","86.86875072929952","0.48260417071833067","86.86875072929952","0","0.48260417071833067","0","11.595110757722995","11.595110757722995","0","0","1183.3064814352917","1183.3064814352917","0","0","0.09274642560234403","0","0","0","0","0","0","0","0.0904564506070003","100","0"
"15","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","11.907063635609816","95.79807875643709","0.5322115486468727","95.79807875643709","0","0.5322115486468727","0","10.834640998446616","10.834640998446616","0","0","960.4975869208004","960.4975869208004","0","0","0.06901720899405861","0","0","0","0","0","0","0","0.09013573706399348","100","0"
"16","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","12.916780133765954","100.28262590346833","0.5571256994637129","100.28262590346833","0","0.5571256994637129","0","11.32213615848958","11.32213615848958","0","0","1167.1451574984662","1167.1451574984662","0","0","0.08848514464657264","0","0","0","0","0","0","0","0.07696295620310856","100","0"
"14","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","15.07362853110159","79.30339570032208","0.4405744205573449","79.30339570032208","0","0.4405744205573449","0","11.201926711223066","11.201926711223066","0","0","1082.135765409007","1082.135765409007","0","0","0.0876676388994082","0","0","0","0","0","0","0","0.07334711212937974","100","0"
"17","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","13.544644226354336","97.30362158098706","0.5405756754499281","97.30362158098706","0","0.5405756754499281","0","11.33600682301127","11.33600682301127","0","0","993.7500016912918","993.7500016912918","0","0","0.09083576352598","0","0","0","0","0","0","0","0.0906743489858299","100","0"
"18","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","18.302395064906378","80.70532108547035","0.4483628949192797","80.70532108547035","0","0.4483628949192797","0","11.256566288442137","11.256566288442137","0","0","993.4527372495977","993.4527372495977","0","0","0.07304538139043215","0","0","0","0","0","0","0","0.08241286621623518","100","0"
"19","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","56","13.913061072741982","88.59336633194394","0.4921853685107997","88.59336633194394","0","0.4921853685107997","0","10.899553815230798","10.899553815230798","0","0","856.1618380626588","856.1618380626588","0","0","0.06924559179277279","0","0","0","0","0","0","0","0.08935891003201045","100","0"
"22","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","31","16.44283709232404","95.81725862748088","0.532318103486005","95.81725862748088","0","0.532318103486005","0","11.052704442651287","11.052704442651287","0","0","1128.8943299318357","1128.8943299318357","0","0","0.0890837949620451","0","0","0","0","0","0","0","0.07113308069312185","100","0"
"20","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","8.975231840330139","86.3648575130951","0.47980476396163946","86.3648575130951","0","0.47980476396163946","0","11.209226708687993","11.209226708687993","0","0","1028.3914421828247","1028.3914421828247","0","0","0.0781850999170659","0","0","0","0","0","0","0","0.08109641193056764","100","0"
"23","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","10.000572678908284","93.67147846403786","0.5203971025779881","93.67147846403786","0","0.5203971025779881","0","11.045507656462302","11.045507656462302","0","0","973.085253425289","973.085253425289","0","0","0.07693366307604155","0","0","0","0","0","0","0","0.09799952516952476","100","0"
